date,Open,High,Low,Close,Volume,VWAP,Transactions
2024-06-10 04:00:00,196.9,197.3,192.15,193.12,97262077.0,194.4151,1115274
2024-06-11 04:00:00,193.65,207.16,193.63,207.15,172373296.0,203.2102,1601778
2024-06-12 04:00:00,207.37,220.2,206.9,213.07,198134293.0,215.2618,1861010
2024-06-13 04:00:00,214.74,216.75,211.6,214.24,97862729.0,214.0158,1032970
2024-06-14 04:00:00,213.85,215.17,211.3,212.49,70122748.0,212.7597,793746
2024-06-17 04:00:00,213.37,218.95,212.72,216.67,93728300.0,216.4107,1034963
2024-06-18 04:00:00,217.59,218.63,213.0,214.29,79943254.0,214.7342,919960
2024-06-20 04:00:00,213.93,214.24,208.85,209.68,86172451.0,210.6226,1005362
2024-06-21 04:00:00,210.39,211.89,207.11,207.49,246421353.0,208.4264,881938
2024-06-24 04:00:00,207.72,212.7,206.59,208.14,80727006.0,209.3296,916152
2024-06-25 04:00:00,209.15,211.38,208.61,209.07,56713868.0,209.6848,621196
2024-06-26 04:00:00,211.5,214.86,210.64,213.25,66213186.0,213.1448,769103
2024-06-27 04:00:00,214.69,215.7395,212.35,214.1,49772707.0,213.9138,644397
2024-06-28 04:00:00,215.77,216.07,210.3,210.62,82542718.0,212.5585,729912
2024-07-01 04:00:00,212.09,217.51,211.92,216.75,60402929.0,215.5066,784845
2024-07-02 04:00:00,216.15,220.38,215.1,220.27,58046178.0,219.2005,689998
2024-07-03 04:00:00,220.0,221.55,219.03,221.55,37369801.0,220.6588,566784
2024-07-05 04:00:00,221.65,226.45,221.65,226.34,60412408.0,224.9683,767414
2024-07-08 04:00:00,227.09,227.85,223.25,227.82,59085861.0,226.3635,790096
2024-07-09 04:00:00,227.93,229.4,226.3721,228.68,48169822.0,228.2165,651068
2024-07-10 04:00:00,229.3,233.08,229.25,232.98,62627687.0,231.6614,782526
2024-07-11 04:00:00,231.39,232.39,225.77,227.57,64710617.0,228.4613,889309
2024-07-12 04:00:00,228.92,232.64,228.68,230.54,53046527.0,230.9577,706283
2024-07-15 04:00:00,236.48,237.23,233.09,234.4,62631252.0,234.9027,822676
2024-07-16 04:00:00,235.0,236.27,232.33,234.82,43234278.0,234.3218,623963
2024-07-17 04:00:00,229.45,231.4599,226.64,228.88,57345884.0,228.8407,811104
2024-07-18 04:00:00,230.28,230.44,222.27,224.18,66034585.0,225.1554,844626
2024-07-19 04:00:00,224.82,226.8,223.275,224.31,49151453.0,224.7259,612830
2024-07-22 04:00:00,227.01,227.78,223.09,223.96,48201835.0,224.9473,704897
2024-07-23 04:00:00,224.365,226.94,222.68,225.01,39960260.0,225.0215,551688
2024-07-24 04:00:00,224.0,224.8,217.13,218.54,61777576.0,219.0689,816144
